CODE2,COUNTRY_NAME,CM_ARTIST,ARTIST_NAME,CM_SCORE,MAX_SCORE
AR,Argentina,648982,Bizarrap,0.210163957186,1
AR,Argentina,916560,Maria Becerra,0.135453200169,2
AR,Argentina,1721827,Nicki Nicole,0.112159021121,3
AR,Argentina,206907,TINI,0.096700221395,4
AR,Argentina,550716,Duki,0.085857208142,5
AR,Argentina,665663,Paulo Londra,0.08106534391,6
AR,Argentina,1189104,Alejo Igoa,0.079178958872,7
AR,Argentina,1544420,Tiago PZK,0.073627451621,8
AR,Argentina,1417101,Emilia,0.069061787587,9
AR,Argentina,9773578,Ruben Tuesta,0.068419740418,10
BR,Brazil,4520,Anitta,0.197741112918,1
BR,Brazil,129505,Marília Mendonça,0.11963784313,2
BR,Brazil,29578,Alok,0.116313344044,3
BR,Brazil,4266400,Ana Castela,0.111201944359,4
BR,Brazil,4612,Henrique & Juliano,0.10641571386399999,5
BR,Brazil,207531,Gusttavo Lima,0.10608225,6
BR,Brazil,5011,LUDMILLA,0.088505556492,7
BR,Brazil,207123,Zé Neto & Cristiano,0.086839721977,8
BR,Brazil,110066,Jorge & Mateus,0.083416406195,9
BR,Brazil,3679,Luan Santana,0.08062971307399999,10
CA,Canada,3852,The Weeknd,0.5541883134009999,1
CA,Canada,3380,Drake,0.540574587905,2
CA,Canada,3479,Justin Bieber,0.537452520246,3
CA,Canada,550577,Tate McRae,0.212335471737,4
CA,Canada,4934,Shawn Mendes,0.210196270768,5
CA,Canada,1607,Michael Bublé,0.190038909417,6
CA,Canada,43,Céline Dion,0.109056330786,7
CA,Canada,51,Bryan Adams,0.094744866576,8
CA,Canada,1316,Avril Lavigne,0.084316157524,9
CA,Canada,5239,Alessia Cara,0.08182615071299999,10
FR,France,1006,David Guetta,0.292539683994,1
FR,France,4310,DJ Snake,0.200951159744,2
FR,France,170,Daft Punk,0.117638889636,3
FR,France,5151,PNL,0.093761894897,4
FR,France,4187882,Yamê,0.091620271601,5
FR,France,21326,Indila,0.086388335491,6
FR,France,5704,Jul,0.080506019843,7
FR,France,211620,Ninho,0.068208250001,8
FR,France,612258,Dadju,0.065710864633,9
FR,France,4115,GIMS,0.06381959324,10
DE,Germany,219893,Robin Schulz,0.090714573135,1
DE,Germany,717311,Kim Petras,0.083515951803,2
DE,Germany,3777,Zedd,0.074525064721,3
DE,Germany,735,Boney M.,0.072390500431,4
DE,Germany,12,Rammstein,0.068716316666,5
DE,Germany,3508,Topic,0.062061755972999996,6
DE,Germany,78,Hans Zimmer,0.061475527272,7
DE,Germany,4770,Felix Jaehn,0.060416212186999996,8
DE,Germany,163590,Purple Disco Machine,0.059529337412,9
DE,Germany,341,Scorpions,0.059022782392999996,10
IN,India,303406,Arijit Singh,0.285772211917,1
IN,India,267405,Alka Yagnik,0.223757831916,2
IN,India,211735,Udit Narayan,0.21342362367,3
IN,India,309305,Kumar Sanu,0.161603152244,4
IN,India,713421,Sidhu Moose Wala,0.146060940695,5
IN,India,127583,Pritam,0.134873939815,6
IN,India,450003,Neha Kakkar,0.125863054779,7
IN,India,215747,Lata Mangeshkar,0.11392846412,8
IN,India,117789,A.R. Rahman,0.110400775541,9
IN,India,148042,Anirudh Ravichander,0.109686818939,10
ID,Indonesia,1031409,Sabyan Gambus,0.07954949444,1
ID,Indonesia,5205819,YUQI,0.07797551702,2
ID,Indonesia,1016386,Atta Halilintar,0.071338733117,3
ID,Indonesia,3544460,Ria Ricis,0.061768262007,4
ID,Indonesia,10501049,GKJ Seasons City,0.042669941667,5
ID,Indonesia,175814,Tulus,0.042580256089,6
ID,Indonesia,1175434,Fadil Jaidi,0.035647412527,7
ID,Indonesia,3574762,Tiara Andini,0.033799344801,8
ID,Indonesia,711786,NIKI,0.031265338361999996,9
ID,Indonesia,484827,Seventeen,0.03016162963,10
IT,Italy,741625,Måneskin,0.097253616968,1
IT,Italy,1395408,MEDUZA,0.06221424461,2
IT,Italy,150,Andrea Bocelli,0.049813451581,3
IT,Italy,1102,Ludovico Einaudi,0.047920939198,4
IT,Italy,134682,Sfera Ebbasta,0.047409844737,5
IT,Italy,217431,Gabry Ponte,0.046466107624,6
IT,Italy,1692,Benny Benassi,0.043796727564,7
IT,Italy,171666,Laura Pausini,0.042258619133999996,8
IT,Italy,3521585,JOk3R,0.040471229493,9
IT,Italy,93236,Gigi D'Agostino,0.039095782262,10
JP,Japan,3491328,YOASOBI,0.070205578036,1
JP,Japan,3918457,Ado,0.052767332225,2
JP,Japan,8293769,マツダ家の日常,0.045084066807,3
JP,Japan,8365677,XG,0.040151719567,4
JP,Japan,307230,Mrs. GREEN APPLE,0.038320745297999996,5
JP,Japan,244969,Kenshi Yonezu,0.036465955981999996,6
JP,Japan,568242,OFFICIAL HIGE DANDISM,0.035375931753,7
JP,Japan,3416450,Fujii Kaze,0.033940624243,8
JP,Japan,713385,King Gnu,0.032990921969999996,9
JP,Japan,66669,Richard Hickox,0.032494483184,10
MX,Mexico,4251908,Peso Pluma,0.292399668678,1
MX,Mexico,1011054,Carin Leon,0.176221212792,2
MX,Mexico,863940,Fuerza Regida,0.166909572166,3
MX,Mexico,1121094,Natanael Cano,0.138680833333,4
MX,Mexico,10090140,Yeri Mua,0.138510207922,5
MX,Mexico,1407665,Junior H,0.128860425725,6
MX,Mexico,40359,Christian Nodal,0.102350096721,7
MX,Mexico,1106326,Kim Loaiza,0.09358859702899999,8
MX,Mexico,1152538,Kenia OS,0.088847513622,9
MX,Mexico,41672,Los Ángeles Azules,0.087823199242,10
NL,Netherlands,2094,Tiësto,0.166012313022,1
NL,Netherlands,4516,Martin Garrix,0.10536709685199999,2
NL,Netherlands,3455,R3HAB,0.07253549712599999,3
NL,Netherlands,1408,Armin van Buuren,0.058300830846,4
NL,Netherlands,3229,Afrojack,0.045608344697,5
NL,Netherlands,3931,W&W,0.04083107682,6
NL,Netherlands,5020,Sam Feldt,0.037864513192,7
NL,Netherlands,3958,Hardwell,0.036118932964999996,8
NL,Netherlands,3602,Nicky Romero,0.031113190012,9
NL,Netherlands,4765,Oliver Heldens,0.030648708791,10
ES,Spain,612801,ROSALÍA,0.16191588290199999,1
ES,Spain,531,Enrique Iglesias,0.125381989028,2
ES,Spain,9354370,Quevedo,0.093388867306,3
ES,Spain,9691009,iñigo quintero,0.077255349902,4
ES,Spain,149609,Rels B,0.073704386234,5
ES,Spain,1123831,Lola Indigo,0.056768506034,6
ES,Spain,1395386,Rvfv,0.053926330341,7
ES,Spain,1428885,Morad,0.050957583698,8
ES,Spain,214045,Bad Gyal,0.048898273601,9
ES,Spain,3884730,Saiko,0.048440359254999996,10
TR,Türkiye,1579971,UZI,0.042688831772,1
TR,Türkiye,214055,Sezen Aksu,0.040311915755,2
TR,Türkiye,201906,Red,0.036501236223,3
TR,Türkiye,751128,Reynmen,0.032449295579,4
TR,Türkiye,214046,Müslüm Gürses,0.030749302197,5
TR,Türkiye,907902,İbrahim Tatlıses,0.030001024618,6
TR,Türkiye,747068,Enes Batur,0.029056781192999998,7
TR,Türkiye,89534,Sagopa Kajmer,0.027952430968,8
TR,Türkiye,1645183,Sefo,0.027491135739,9
TR,Türkiye,109158,Mabel Matiz,0.027024355263,10
GB,United Kingdom,3648,Ed Sheeran,0.455130844567,1
GB,United Kingdom,5381,Dua Lipa,0.366923325431,2
GB,United Kingdom,439,Coldplay,0.324716712382,3
GB,United Kingdom,3079,Adele,0.308884863512,4
GB,United Kingdom,2134,Calvin Harris,0.271832010123,5
GB,United Kingdom,72,Queen,0.238932986795,6
GB,United Kingdom,3176,Sam Smith,0.229592010199,7
GB,United Kingdom,87,Elton John,0.223766913954,8
GB,United Kingdom,3747,One Direction,0.207706189685,9
GB,United Kingdom,558681,Harry Styles,0.205031887278,10
US,United States,2762,Taylor Swift,0.634018342281,1
US,United States,236,Eminem,0.493836468811,2
US,United States,3963,Ariana Grande,0.48028880423299997,3
US,United States,3442,Nicki Minaj,0.419994364332,4
US,United States,5596,Billie Eilish,0.366895703958,5
US,United States,3168,Selena Gomez,0.353625856126,6
US,United States,2838,Beyoncé,0.33973229414899997,7
US,United States,3501,Bruno Mars,0.331596825497,8
US,United States,217671,Doja Cat,0.327462161252,9
US,United States,33,Mariah Carey,0.316017705711,10
