RANK_MONTH,NAME,MONTHLY_ARTIST_RANK
1,Bad Bunny,1
1,The Weeknd,2
1,Drake,3
1,Taylor Swift,4
1,Justin Bieber,5
1,BTS,6
1,Rihanna,7
1,Ed Sheeran,8
1,Ariana Grande,9
1,Eminem,10
2,Drake,1
2,Shakira,2
2,Taylor Swift,3
2,The Weeknd,4
2,Bad Bunny,5
2,Ed Sheeran,6
2,Justin Bieber,7
2,Rihanna,8
2,Miley Cyrus,9
2,Eminem,10
3,The Weeknd,1
3,Drake,2
3,Shakira,3
3,Rihanna,4
3,Bad Bunny,5
3,Taylor Swift,6
3,Miley Cyrus,7
3,Justin Bieber,8
3,Ariana Grande,9
3,KAROL G,10
4,The Weeknd,1
4,Taylor Swift,2
4,Drake,3
4,Shakira,4
4,Ed Sheeran,5
4,Bad Bunny,6
4,Justin Bieber,7
4,Rihanna,8
4,KAROL G,9
4,Selena Gomez,10
5,Drake,1
5,The Weeknd,2
5,Taylor Swift,3
5,Bad Bunny,4
5,Ed Sheeran,5
5,Justin Bieber,6
5,Rihanna,7
5,Shakira,8
5,Ariana Grande,9
5,Eminem,10
6,Taylor Swift,1
6,Drake,2
6,Bad Bunny,3
6,The Weeknd,4
6,Ed Sheeran,5
6,Justin Bieber,6
6,Shakira,7
6,Rihanna,8
6,Eminem,9
6,Ariana Grande,10
7,Taylor Swift,1
7,Drake,2
7,The Weeknd,3
7,Rihanna,4
7,Bad Bunny,5
7,Ed Sheeran,6
7,Justin Bieber,7
7,Eminem,8
7,Ariana Grande,9
7,Selena Gomez,10
8,Taylor Swift,1
8,Bad Bunny,2
8,The Weeknd,3
8,Drake,4
8,Rihanna,5
8,Ed Sheeran,6
8,Justin Bieber,7
8,Billie Eilish,8
8,Eminem,9
8,Shakira,10
9,Taylor Swift,1
9,Drake,2
9,The Weeknd,3
9,Bad Bunny,4
9,Selena Gomez,5
9,Justin Bieber,6
9,Rihanna,7
9,Ariana Grande,8
9,Ed Sheeran,9
9,Billie Eilish,10
10,Taylor Swift,1
10,Drake,2
10,The Weeknd,3
10,Bad Bunny,4
10,Justin Bieber,5
10,Rihanna,6
10,KAROL G,7
10,Ed Sheeran,8
10,Eminem,9
10,Ariana Grande,10
11,Taylor Swift,1
11,Drake,2
11,Bad Bunny,3
11,The Weeknd,4
11,Rihanna,5
11,Justin Bieber,6
11,Ed Sheeran,7
11,Eminem,8
11,Doja Cat,9
11,Ariana Grande,10
12,Taylor Swift,1
12,Drake,2
12,Bad Bunny,3
12,The Weeknd,4
12,Justin Bieber,5
12,Rihanna,6
12,Ed Sheeran,7
12,Ariana Grande,8
12,Eminem,9
12,Dua Lipa,10
