CREATION_DATE,DAILY_TRACK_COUNT
2023-12-12,31199
2023-12-11,29125
2023-12-10,39917
2023-12-09,43453
2023-12-08,39498
2023-12-07,31626
2023-12-06,32169
2023-12-05,37348
2023-12-04,32010
2023-12-03,38682
2023-12-02,39223
2023-12-01,50921
2023-11-30,32127
2023-11-29,37213
2023-11-28,37002
2023-11-27,40959
2023-11-26,52006
2023-11-25,62386
2023-11-24,76671
2023-11-23,36141
2023-11-22,31694
2023-11-21,29108
2023-11-20,28463
2023-11-19,32387
2023-11-18,38408
2023-11-17,42183
2023-11-16,38675
2023-11-15,28543
2023-11-14,35536
2023-11-13,26964
2023-11-12,29668
2023-11-11,35475
2023-11-10,41476
2023-11-09,32834
2023-11-08,107543
2023-11-07,29967
2023-11-06,33201
2023-11-05,32633
2023-11-04,48242
2023-11-03,58964
2023-11-02,31692
2023-11-01,32591
2023-10-31,27348
2023-10-30,25522
2023-10-29,31495
2023-10-28,44929
2023-10-27,34992
2023-10-26,31903
2023-10-25,27775
2023-10-24,29906
2023-10-23,29933
2023-10-22,32473
2023-10-21,44021
2023-10-20,45086
2023-10-19,43542
2023-10-18,49882
2023-10-17,43743
2023-10-16,38000
2023-10-15,37130
2023-10-14,41466
2023-10-13,50349
2023-10-12,39904
2023-10-11,40207
2023-10-10,35729
2023-10-09,43116
2023-10-08,37175
2023-10-07,51554
2023-10-06,47507
2023-10-05,40961
2023-10-04,42584
2023-10-03,35296
2023-10-02,39696
2023-10-01,31073
2023-09-30,46896
2023-09-29,50736
2023-09-28,38271
2023-09-27,39813
2023-09-26,30815
2023-09-25,55325
2023-09-24,10521
2023-09-23,46891
2023-09-22,43606
2023-09-21,37264
2023-09-20,29884
2023-09-19,34104
2023-09-18,33213
2023-09-17,42660
2023-09-16,47290
2023-09-15,51004
2023-09-14,45506
2023-09-13,34582
2023-09-12,39040
2023-09-11,32690
2023-09-10,34910
2023-09-09,43982
2023-09-08,56138
2023-09-07,38302
2023-09-06,31419
2023-09-05,54430
2023-09-04,60887
2023-09-03,72068
2023-09-02,75864
2023-09-01,62348
2023-08-31,52459
2023-08-30,67806
2023-08-29,77830
2023-08-28,90076
2023-08-27,131764
2023-08-26,148697
2023-08-25,145432
2023-08-24,136320
2023-08-23,134731
2023-08-22,129120
2023-08-21,102192
2023-08-20,127697
2023-08-19,120426
2023-08-18,131641
2023-08-17,123633
2023-08-16,123505
2023-08-15,122170
2023-08-14,126525
2023-08-13,123022
2023-08-12,133086
2023-08-11,132681
2023-08-10,127792
2023-08-09,125646
2023-08-08,124329
2023-08-07,121482
2023-08-06,122989
2023-08-05,134616
2023-08-04,143434
2023-08-03,127438
2023-08-02,130935
2023-08-01,121423
2023-07-31,114692
2023-07-30,114057
2023-07-29,120053
2023-07-28,144611
2023-07-27,101834
2023-07-26,105009
2023-07-25,99985
2023-07-24,89550
2023-07-23,89085
2023-07-22,104402
2023-07-21,110077
2023-07-20,104131
2023-07-19,98522
2023-07-18,103705
2023-07-17,108819
2023-07-16,112872
2023-07-15,125927
2023-07-14,119580
2023-07-13,116148
2023-07-12,26027
2023-07-11,28115
2023-07-10,22474
2023-07-09,28295
2023-07-08,32120
2023-07-07,37138
2023-07-06,27975
2023-07-05,26572
2023-07-04,25408
2023-07-03,29062
2023-07-02,42036
2023-07-01,51165
2023-06-30,43064
2023-06-29,37863
2023-06-28,22775
2023-06-27,26211
2023-06-26,28392
2023-06-25,29629
2023-06-24,32921
2023-06-23,35345
2023-06-22,26615
2023-06-21,26457
2023-06-20,24625
2023-06-19,23495
2023-06-18,25841
2023-06-17,32692
2023-06-16,36091
2023-06-15,40751
2023-06-14,24702
2023-06-13,23236
2023-06-12,25073
2023-06-11,32510
2023-06-10,37075
2023-06-09,44257
2023-06-08,32772
2023-06-07,39844
2023-06-06,31674
2023-06-05,26428
2023-06-04,37230
2023-06-03,29448
2023-06-02,36856
2023-06-01,23902
2023-05-31,23770
2023-05-30,24945
2023-05-29,52082
2023-05-28,143293
2023-05-27,113581
2023-05-26,103397
2023-05-25,178067
2023-05-24,87758
2023-05-23,106890
2023-05-22,87834
2023-05-21,53630
2023-05-20,100661
2023-05-19,79424
2023-05-18,59619
2023-05-17,45940
2023-05-16,132402
2023-05-15,39465
2023-05-14,33678
2023-05-13,51674
2023-05-12,46530
2023-05-11,31473
2023-05-10,33657
2023-05-09,23968
2023-05-08,26061
2023-05-07,37620
2023-05-06,36573
2023-05-05,38873
2023-05-04,32630
2023-05-03,30406
2023-05-02,33774
2023-05-01,36741
2023-04-30,33091
2023-04-29,38984
2023-04-28,44350
2023-04-27,34187
2023-04-26,34676
2023-04-25,26842
2023-04-24,26681
2023-04-23,27259
2023-04-22,31753
2023-04-21,34827
2023-04-20,30204
2023-04-19,29165
2023-04-18,37578
2023-04-17,36200
2023-04-16,32858
2023-04-15,45490
2023-04-14,30621
2023-04-13,31260
2023-04-12,27201
2023-04-11,25800
2023-04-10,27701
2023-04-09,29620
2023-04-08,30908
2023-04-07,34654
2023-04-06,26659
2023-04-05,26552
2023-04-04,25261
2023-04-03,26869
2023-04-02,30337
2023-04-01,37947
2023-03-31,32272
2023-03-30,28456
2023-03-29,23816
2023-03-28,21046
2023-03-27,24129
2023-03-26,24834
2023-03-25,36561
2023-03-24,51198
2023-03-23,24527
2023-03-22,19793
2023-03-21,19618
2023-03-20,18259
2023-03-19,19225
2023-03-18,25617
2023-03-17,28529
2023-03-16,24194
2023-03-15,19350
2023-03-14,18323
2023-03-13,20319
2023-03-12,22032
2023-03-11,25812
2023-03-10,29631
2023-03-09,21916
2023-03-08,18038
2023-03-07,22827
2023-03-06,18608
2023-03-05,23441
2023-03-04,28447
2023-03-03,32075
2023-03-02,27257
2023-03-01,24870
2023-02-28,21881
2023-02-27,19847
2023-02-26,21653
2023-02-25,27285
2023-02-24,35354
2023-02-23,21601
2023-02-22,21361
2023-02-21,23047
2023-02-20,22158
2023-02-19,22761
2023-02-18,33546
2023-02-17,39045
2023-02-16,26004
2023-02-15,18988
2023-02-14,32942
2023-02-13,19461
2023-02-12,18000
2023-02-11,26441
2023-02-10,29591
2023-02-09,20941
2023-02-08,17139
2023-02-07,22810
2023-02-06,22125
2023-02-05,22642
2023-02-04,28099
2023-02-03,34989
2023-02-02,30573
2023-02-01,27338
2023-01-31,29229
2023-01-30,21588
2023-01-29,28028
2023-01-28,21296
2023-01-27,34024
2023-01-26,29095
2023-01-25,27823
2023-01-24,26864
2023-01-23,25663
2023-01-22,25908
2023-01-21,34051
2023-01-20,38280
2023-01-19,30817
2023-01-18,23985
2023-01-17,26035
2023-01-16,17386
2023-01-15,19956
2023-01-14,30243
2023-01-13,26840
2023-01-12,18312
2023-01-11,25853
2023-01-10,39611
2023-01-09,5053
2023-01-08,5856
2023-01-07,5618
2023-01-06,7914
2023-01-05,43382
2023-01-04,49600
2023-01-03,47761
2023-01-02,53010
