NAME,ID,GENRE_NAME,VALUE
top_genres_for_tracks_released_in_2023,G2.6,Arabic,6358.0
top_genres_for_tracks_released_in_2022,G2.7,Indian Folk,135.0
top_genres_for_artists_created_in_2023,G2.2,Drum & Bass,1009.0
top_genres_for_tracks_released_in_2022,G2.7,Singer/Songwriter,124342.0
top_genres_for_tracks_released_in_2022,G2.7,Vocal,21367.0
top_genres_for_artists_created_in_2023,G2.2,Industrial,90.0
top_genres_for_artists_created_in_2023,G2.2,Latin Rock,64.0
top_genres_for_tracks_released_in_2022,G2.7,Jazz,138939.0
top_genres_for_artists_all_time,G2.1,Jazz,192395.0
top_genres_for_artists_all_time,G2.1,Holiday,57376.0
top_genres_for_tracks_released_in_2023,G2.6,Flamenco,1217.0
top_genres_for_artists_created_in_2023,G2.2,Arabic Hip-Hop/Rap,3.0
top_genres_for_tracks_released_in_2022,G2.7,Alternative Rap,8404.0
top_genres_for_artists_created_in_2023,G2.2,Alternative Rap,1084.0
top_genres_for_tracks_released_in_2023,G2.6,Indian Children's Music,3.0
top_genres_for_tracks_released_in_2022,G2.7,Arabic Classical,7.0
top_genres_for_artists_created_in_2023,G2.2,Children's Music,1915.0
top_genres_for_tracks_released_in_2023,G2.6,Reggaeton,28.0
top_genres_for_tracks_all_time,G2.5,Spoken Word,498904.0
top_genres_for_tracks_released_in_2022,G2.7,Drum & Bass,15746.0
top_genres_for_tracks_released_in_2023,G2.6,Sertanejo,59.0
top_genres_for_tracks_released_in_2022,G2.7,Reggaeton,1.0
top_genres_for_artists_created_in_2023,G2.2,Samba,1.0
top_genres_for_artists_all_time,G2.1,Techno,59418.0
top_genres_for_artists_all_time,G2.1,Vocal,44016.0
top_genres_for_tracks_released_in_2023,G2.6,Punk,30393.0
top_genres_for_tracks_released_in_2023,G2.6,East Coast Rap,537.0
top_genres_for_tracks_released_in_2022,G2.7,Soundtracks,96191.0
top_genres_for_artists_created_in_2023,G2.2,Electronic,27110.0
top_genres_for_tracks_all_time,G2.5,Country,1160527.0
top_genres_for_tracks_all_time,G2.5,Hip-Hop/Rap,9286528.0
top_genres_for_tracks_released_in_2023,G2.6,Arabic Rock,11.0
top_genres_for_tracks_released_in_2022,G2.7,Arabic Children's Music,1.0
top_genres_for_tracks_released_in_2022,G2.7,Soft Rock,555.0
top_genres_for_tracks_all_time,G2.5,Indian,715862.0
top_genres_for_tracks_released_in_2023,G2.6,Ghazals,79.0
top_genres_for_tracks_released_in_2023,G2.6,Spoken Word,1185.0
top_genres_for_tracks_released_in_2022,G2.7,East Coast Rap,511.0
top_genres_for_tracks_released_in_2022,G2.7,African Hip-Hop/Rap,11233.0
top_genres_for_tracks_released_in_2023,G2.6,Chicago Blues,84.0
top_genres_for_tracks_released_in_2023,G2.6,Oldies,117.0
top_genres_for_tracks_released_in_2023,G2.6,Afrobeat,43417.0
top_genres_for_tracks_released_in_2022,G2.7,House,124520.0
top_genres_for_tracks_released_in_2022,G2.7,Instrumental,72130.0
top_genres_for_artists_created_in_2023,G2.2,House,9509.0
top_genres_for_artists_created_in_2023,G2.2,Punk,1507.0
top_genres_for_tracks_released_in_2022,G2.7,Orchestral,8220.0
top_genres_for_tracks_released_in_2023,G2.6,Forro,54.0
top_genres_for_tracks_released_in_2022,G2.7,Chicago Blues,124.0
top_genres_for_tracks_released_in_2022,G2.7,Country,58985.0
top_genres_for_artists_created_in_2023,G2.2,Ambient,1407.0
top_genres_for_tracks_released_in_2023,G2.6,African Rock,131.0
top_genres_for_artists_created_in_2023,G2.2,Latin Dance,195.0
top_genres_for_tracks_released_in_2022,G2.7,Flamenco,1781.0
top_genres_for_tracks_released_in_2022,G2.7,Delta Blues,97.0
top_genres_for_artists_created_in_2023,G2.2,Instrumental,2299.0
top_genres_for_artists_created_in_2023,G2.2,Alternative,20402.0
top_genres_for_tracks_released_in_2023,G2.6,Hard Rock,15536.0
top_genres_for_tracks_released_in_2023,G2.6,Dubstep,12412.0
top_genres_for_tracks_released_in_2023,G2.6,African Folk,1.0
top_genres_for_tracks_released_in_2022,G2.7,Celtic,1168.0
top_genres_for_tracks_released_in_2023,G2.6,Arabic Pop,1921.0
top_genres_for_tracks_released_in_2022,G2.7,Motown,215.0
top_genres_for_tracks_released_in_2023,G2.6,Latin Folk,41.0
top_genres_for_tracks_released_in_2022,G2.7,Choral,2346.0
top_genres_for_tracks_released_in_2022,G2.7,Opera,7594.0
top_genres_for_artists_created_in_2023,G2.2,Dancehall,953.0
top_genres_for_tracks_all_time,G2.5,Vocal,460049.0
top_genres_for_artists_created_in_2023,G2.2,Delta Blues,2.0
top_genres_for_artists_created_in_2023,G2.2,Polka,2.0
top_genres_for_tracks_released_in_2023,G2.6,Indian Dance,134.0
top_genres_for_tracks_released_in_2023,G2.6,Indie Rock,16796.0
top_genres_for_artists_all_time,G2.1,Alternative,480312.0
top_genres_for_tracks_released_in_2022,G2.7,Polka,52.0
top_genres_for_artists_created_in_2023,G2.2,Cumbia,1.0
top_new_artist_genre_growth_2022_to_2023,G2.4,Pop,85.11262699999999
top_genres_for_tracks_released_in_2022,G2.7,Schlager,3974.0
top_genres_for_tracks_released_in_2023,G2.6,Alternative Rap,13062.0
top_genres_for_tracks_released_in_2023,G2.6,Drum & Bass,17067.0
top_genres_for_tracks_released_in_2022,G2.7,Reggae,72150.0
top_genres_for_tracks_released_in_2023,G2.6,Latin Pop,18698.0
top_genres_for_tracks_released_in_2023,G2.6,Hard Bop,67.0
top_genres_for_tracks_released_in_2022,G2.7,Dubstep,13414.0
top_genres_for_artists_created_in_2023,G2.2,Techno,2584.0
top_genres_for_artists_all_time,G2.1,Rock,616862.0
top_genres_for_tracks_released_in_2022,G2.7,Arabic,5806.0
top_genres_for_artists_created_in_2023,G2.2,Oldies,12.0
top_genres_for_tracks_released_in_2023,G2.6,Indian Classical,584.0
top_genres_for_tracks_released_in_2023,G2.6,Alternative Rock,51990.0
top_genres_for_tracks_released_in_2023,G2.6,K-Pop,14698.0
top_genres_for_tracks_released_in_2022,G2.7,Classical,204843.0
top_genres_for_artists_created_in_2023,G2.2,Indian Classical,49.0
top_genres_for_artists_created_in_2023,G2.2,Sertanejo,2.0
top_genres_for_artists_created_in_2023,G2.2,New Wave,105.0
top_genres_for_tracks_released_in_2022,G2.7,Arabic Dance,27.0
top_genres_for_artists_created_in_2023,G2.2,Folk,1499.0
top_genres_for_tracks_released_in_2022,G2.7,Trance,27026.0
top_genres_for_artists_created_in_2023,G2.2,Swing,19.0
top_genres_for_tracks_released_in_2023,G2.6,Latin Dance,3463.0
top_genres_for_tracks_released_in_2022,G2.7,Indie Rock,14329.0
top_genres_for_tracks_released_in_2022,G2.7,Indian Dance,148.0
top_genres_for_tracks_released_in_2023,G2.6,African,83908.0
top_genres_for_tracks_released_in_2022,G2.7,K-Pop,18472.0
top_genres_for_tracks_released_in_2022,G2.7,Latin Dance,2790.0
top_genres_for_tracks_all_time,G2.5,Children's Music,808731.0
top_genres_for_artists_created_in_2023,G2.2,Dubstep,640.0
top_genres_for_tracks_all_time,G2.5,Alternative,4720373.0
top_genres_for_tracks_released_in_2023,G2.6,Grunge,892.0
top_genres_for_tracks_all_time,G2.5,Christian,1747791.0
top_genres_for_tracks_released_in_2022,G2.7,Oldies,365.0
top_genres_for_tracks_released_in_2022,G2.7,Latin Pop,18670.0
top_genres_for_tracks_released_in_2023,G2.6,Instrumental,46726.0
top_genres_for_tracks_released_in_2022,G2.7,Klezmer,95.0
top_genres_for_tracks_released_in_2023,G2.6,Latin Children's Music,114.0
top_genres_for_tracks_released_in_2023,G2.6,J-Pop,31268.0
top_genres_for_tracks_released_in_2023,G2.6,Reggae,54484.0
top_genres_for_tracks_released_in_2022,G2.7,Musicals,7299.0
top_genres_for_artists_created_in_2023,G2.2,Klezmer,15.0
