NAME,TRACK_NAME,ARTIST_NAME,SPINS,MAX_SPINS
Trinidad and Tobago,Go Crazy,"Chris Brown,Young Thug",2688,1
Estonia,Strangers,Kenya Grace,1180,1
Nigeria,Lonely At The Top,Asake,2731,1
Mexico,"Mexico National Anthem ""Himno Nacional Mexicano""",National Anthem Band,18865,1
Brazil,Flowers,Miley Cyrus,15578,1
Canada,Calm Down,"Rema,Selena Gomez",27207,1
Cyprus,Hybrid Action Trailer,BlueTreeAudio,1291,1
Venezuela,"Dance the Night (From ""Barbie The Album"")",Dua Lipa,793,1
Sweden,Flowers,Miley Cyrus,17176,1
Canada,Calm Down,Rema & Selena Gomez,27207,1
Venezuela,Dance The Night - From Barbie The Album,Dua Lipa,793,1
Panama,"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap,Shakira",1890,1
Hungary,Flowers,Miley Cyrus,3010,1
Algeria,Technology,TimTaj,1557,1
Ghana,Obra,Nana Kwame Ampadu,1022,1
China,Annie's Wonderland,Bandari,14823,1
Türkiye,Antidepresan,"Mert Demir,Mabel Matiz",14940,1
Burkina Faso,No Do,"Flyboy I.N.C,Kizz Daniel",602,1
United States,Flowers,Miley Cyrus,592933,1
Jamaica,This Is Reggae Music,Zap Pow,2428,1
Cuba,Explosive - Orion & Ed Leal Production,Tonci Huljic,916,1
Israel,Light Hearts,Doug Petty,1151,1
Italy,ITALODISCO,The Kolors,25223,1
Cuba,Explosive - Orion & Ed Leal Production,Bond,916,1
Romania,Call It Love,"Felix Jaehn,Ray Dalton",3832,1
Slovakia,Flowers,Miley Cyrus,2330,1
Malaysia,Flowers,Miley Cyrus,6810,1
Kenya,Bana ba Cameroun,Sam Mangwana,2657,1
Norway,Flowers,Miley Cyrus,5415,1
Monaco,Kiss Me,Dermot Kennedy,696,1
Ireland,Flowers,Miley Cyrus,5527,1
France,Flowers,Miley Cyrus,33500,1
New Zealand,Take It Away,L.A.B.,5407,1
Switzerland,Flowers,Miley Cyrus,17905,1
Bolivia,"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap,Shakira",2031,1
Canada,Calm Down (with Selena Gomez),"Rema,Selena Gomez",27207,1
Dominican Republic,LALA,Myke Towers,4070,1
Australia,Creepin' (with The Weeknd & 21 Savage),"Metro Boomin,The Weeknd,21 Savage",21874,1
Senegal,Nyanyama,Salif Keita,1598,1
Thailand,Ushuaia Dream,"Black,Justin Black,Hill,Oscar Hill",3947,1
Morocco,Rush,Ayra Starr,1343,1
Spain,Flowers,Miley Cyrus,16112,1
Colombia,Yandel 150,"Yandel,Feid",12047,1
Taiwan,,,2083,1
Germany,Flowers,Miley Cyrus,94195,1
Australia,Creepin',"Metro Boomin,The Weeknd,21 Savage",21874,1
Burkina Faso,No Do,Flyboy I.N.C,602,1
Tanzania,Gansta Shit,Lil Eazy-E,897,1
United Kingdom,Forget Me,Lewis Capaldi,76257,1
India,Quiet Time,David Fesliyan,3745,1
Uruguay,Flowers,Miley Cyrus,3423,1
Hong Kong,El Menú en Vivo,Gran Combo,2180,1
South Korea,London Underground,Gregg Karukas,14651,1
Uganda,Bailando,Vinka,2301,1
Czech Republic,Flowers,Miley Cyrus,7331,1
Greece,Flowers,Miley Cyrus,7405,1
Croatia,Flowers,Miley Cyrus,1085,1
Austria,Flowers,Miley Cyrus,13343,1
Serbia,Lagana,Amna,1769,1
Puerto Rico,SOS,Jay Wheeler,3315,1
Egypt,Feel That Move,"Nicolas Baudino,Mister Aul",1924,1
Liechtenstein,"Symphony in D Minor, SchL deest: III. Andantino grazioso","Carl Loewe,Jenaer Philharmonie,Simon Gaudenz",31,1
Burkina Faso,No Do,Kizz Daniel,602,1
Poland,Flowers,Miley Cyrus,7648,1
Tunisia,Andak Bahariya,"Najah Salam,Wadih El Safi,Sabah",1670,1
Guatemala,un x100to,"Grupo Frontera,Bad Bunny",2182,1
Venezuela,"Dance The Night (From ""Barbie The Album"")",Dua Lipa,793,1
Chile,,,7796,1
Denmark,Can't Tame Her,Zara Larsson,8391,1
Philippines,Flowers,Miley Cyrus,2960,1
Pakistan,Dil Na Lagay - (Instrumental),Faakhir,6202,1
Haiti,Plante,Boukman Eksperyans,1228,1
Indonesia,Anti-Hero,Taylor Swift,9846,1
Italy,Italodisco,The Kolors,25223,1
Belgium,Everybody,Little Wings,12806,1
Netherlands,Flowers,Miley Cyrus,22048,1
Iceland,Flowers,Miley Cyrus,4646,1
Costa Rica,Qué Agonía,"Yuridia,Ángela Aguilar",4864,1
Lithuania,Flowers,Miley Cyrus,4921,1
Latvia,Flowers,Miley Cyrus,2539,1
Portugal,Flowers,Miley Cyrus,10493,1
Ecuador,"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap,Shakira",2517,1
Finland,Call It Love,"Felix Jaehn,Ray Dalton",5307,1
United Arab Emirates,Calm Down,"Rema,Selena Gomez",3242,1
United Arab Emirates,Calm Down,Rema & Selena Gomez,3242,1
South Africa,Flowers,Miley Cyrus,4866,1
United Arab Emirates,Calm Down (with Selena Gomez),"Rema,Selena Gomez",3242,1
Peru,un x100to,"Grupo Frontera,Bad Bunny",9886,1
Thailand,Ushuaia Dream,"Oscar HIll, Justin Black",3947,1
Paraguay,Ska Na Ska,Above Envy,3111,1
Singapore,Flowers,Miley Cyrus,1667,1
El Salvador,Volveré,Diego Verdaguer,2868,1
Japan,L'oiseau Bleu-Guitare-,S.E.N.S.,17744,1
Ghana,Akomaa Bayie Nnye,Nana Kwame Ampadu,1022,1
Bulgaria,Can't Tame Her,Zara Larsson,6798,1
Ukraine,Flowers,Miley Cyrus,4253,1
Russian Federation,Borderline,Tove Lo,8633,1
Cuba,Explosive - Orion & Ed Leal Production,"Tonci Huljic,Bond",916,1
Argentina,Flowers,Miley Cyrus,7293,1
Luxembourg,Born Again,Rihanna,437,1
Slovenia,Flowers,Miley Cyrus,5612,1
Nicaragua,Delincuente,Lil Jayankhalino,1404,1
Lebanon,Flowers,Miley Cyrus,2248,1
