ID,START_STAGE,END_STAGE,ARTIST_COUNT
CS2.3,Developing,Superstar,12
CS2.3,Developing,Mid-Level,16445
CS2.5,Mid-level,Superstar,29
CS2.5,Mid-level,Mainstream,8121
CS2.5,Mid-level,Mid-Level,6699
CS2.6,Mainstream,Mainstream,1598
CS2.3,Developing,Mainstream,337
CS2.6,Mainstream,Legendary,180
CS2.1,Undiscovered,Mainstream,115
CS2.6,Mainstream,Mid-Level,8
CS2.1,Undiscovered,Developing,174678
CS2.5,Mid-level,Undiscovered,12
CS2.5,Mid-level,Developing,137
CS2.6,Mainstream,Developing,4
CS2.1,Undiscovered,Superstar,10
CS2.5,Mid-level,Legendary,1
CS2.6,Mainstream,Superstar,733
CS2.3,Developing,Developing,116463
CS2.1,Undiscovered,Mid-Level,672
CS2.6,Mainstream,Undiscovered,19
CS2.1,Undiscovered,Undiscovered,1241868
CS2.3,Developing,Undiscovered,716
